Time,Channel A
(ms),(V)

17.62559443,0.00000000
17.62609843,0.00000000
17.62660243,0.00000000
17.62710643,0.00000000
17.62761043,0.00000000
17.62811443,0.00000000
17.62861843,0.00000000
17.62912243,0.00000000
17.62962643,0.00000000
17.63013043,0.04675197
17.63063443,0.00000000
17.63113843,0.00000000
17.63164243,0.04675197
17.63214643,0.04675197
17.63265043,0.09350394
17.63315443,0.09350394
17.63365843,0.09350394
17.63416243,0.04675197
17.63466643,0.04675197
17.63517043,0.04675197
17.63567443,0.04675197
17.63617843,0.04675197
17.63668243,0.00000000
17.63718643,0.00000000
17.63769043,0.00000000
17.63819443,0.00000000
17.63869843,-0.04675197
17.63920243,0.04675197
17.63970643,0.00000000
17.64021043,0.04675197
17.64071443,0.00000000
17.64121843,0.04675197
17.64172243,-0.04675197
17.64222643,0.00000000
17.64273043,0.04675197
17.64323443,0.04675197
17.64373843,0.00000000
17.64424243,0.00000000
17.64474643,0.00000000
17.64525043,0.04675197
17.64575443,0.00000000
17.64625843,0.00000000
17.64676243,0.04675197
17.64726643,0.09350394
17.64777043,0.04675197
17.64827443,0.04675197
17.64877843,0.00000000
17.64928243,0.00000000
17.64978643,0.00000000
17.65029043,0.00000000
17.65079443,0.00000000
17.65129843,0.09350394
17.65180243,0.00000000
17.65230643,0.00000000
17.65281043,0.04675197
17.65331443,0.00000000
17.65381843,0.00000000
17.65432243,0.00000000
17.65482643,-0.04675197
17.65533043,0.04675197
17.65583443,-0.04675197
17.65633843,0.00000000
17.65684243,0.00000000
17.65734643,0.00000000
17.65785043,0.04675197
17.65835443,0.00000000
17.65885843,0.00000000
17.65936243,0.00000000
17.65986643,0.00000000
17.66037043,0.04675197
17.66087443,0.04675197
17.66137843,0.04675197
17.66188243,0.00000000
17.66238643,0.00000000
17.66289043,0.04675197
17.66339443,0.00000000
17.66389843,-0.04675197
17.66440243,0.04675197
17.66490643,0.00000000
17.66541043,0.00000000
17.66591443,0.04675197
17.66641843,0.04675197
17.66692243,0.00000000
17.66742643,0.00000000
17.66793043,0.04675197
17.66843443,0.00000000
17.66893843,0.00000000
17.66944243,0.04675197
17.66994643,0.00000000
17.67045043,0.00000000
17.67095443,0.04675197
17.67145843,0.04675197
17.67196243,-0.04675197
17.67246643,0.00000000
17.67297043,0.04675197
